id,purchase_id,amount,borrower
1,1,16.48,2
2,1,16.48,3
3,1,16.48,4
4,1,16.48,5
5,1,16.48,6
6,2,5,1
7,2,5,2
8,2,5,3
9,2,5,4
10,2,5,6
11,3,28.66,1
12,3,28.66,3
13,3,35.45,4
14,3,32.13,5
15,3,27.96,6
16,4,5.50,1
17,4,6.12,3
18,5,22.45,2
19,5,22.45,3
20,5,22.45,4
21,5,22.45,5
22,5,22.45,6
23,6,25,4
25,7,14.25,1
26,7,14.25,3
27,7,14.25,4
28,7,18.30,5
29,7,12.25,6
30,8,1237.5,8
31,8,1237.5,9
32,8,1237.5,10
33,9,1237.5,8
34,9,1237.5,9
35,9,1237.5,10
36,10,42.61,7
37,10,42.61,9
38,10,42.61,10
39,11,6.25,7
40,11,6.25,8
41,11,6.25,10
42,12,16.60,7
43,12,19.33,8
44,12,15.13,10
45,13,37.5,7
46,13,37.5,8
47,13,37.5,9
48,14,22.75,9
49,15,25,7
50,15,25,9
51,15,25,10
52,16,10.10,12
53,16,10.10,13
54,16,10.10,14
55,17,25.43,15
56,18,10,11
57,18,10,13
58,18,10,14
59,18,10,15
60,19,300,11
61,19,300,13
62,19,300,14
63,19,300,15
64,20,9.34,11
65,20,12.68,12
66,21,20.10,11
67,21,20.10,12
68,21,20.10,13
69,21,20.10,15
70,22,10,14
71,23,13.31,17
72,23,13.31,18
73,23,13.31,19
74,23,13.31,20
75,24,10,16
76,24,10,18
77,25,21.09,16
78,25,21.09,17
79,25,21.09,19
80,25,21.09,20
81,26,57.12,17
82,27,9.11,16
83,27,9.11,17
84,27,9.11,18
85,27,9.11,19
86,28,3.34,16
87,28,3.34,19
88,29,130.30,18
89,30,4.16,6
90,30,4.16,10
91,30,4.16,11
92,30,4.16,12
93,30,4.16,16
94,31,23.36,5
95,31,23.36,10
96,31,26.56,11
97,31,21.36,12
98,31,18.36,16
99,32,22.53,5
100,32,22.53,10
101,32,25.73,11
102,32,20.53,12
103,33,205.76,5
104,33,205.76,6
105,33,205.76,11
106,33,205.76,12
107,33,205.76,16
108,34,254.86,5
109,34,254.86,6
110,34,254.86,10
111,34,254.86,12
112,34,254.86,16
113,35,75.11,5
114,35,75.11,6
115,35,75.11,10
116,35,75.11,11
117,35,75.11,16
118,36,125,6
119,36,125,10
120,36,125,11
121,37,83.5,9
122,37,83.5,13
123,38,16.66,9
124,38,16.66,13
125,39,25,9
126,39,25,13
127,40,15.17,9
128,40,15.17,13
129,41,11.33,9
130,41,9.40,13
131,42,52.16,2
132,42,52.16,13
133,43,16.49,2
134,43,18.44,13
135,44,43.84,9
136,44,43.84,14
137,44,43.84,19
138,45,4.34,9
139,45,4.34,14
140,46,23.33,3
141,46,23.33,14
142,47,20.44,3
143,47,24.67,14
144,47,20.44,19
145,48,15,3
146,48,15,14
147,48,15,19
148,49,11.34,3
149,50,7.75,14
